英雄A(阵营1),英雄B(阵营2),对局序号,单局胜负摘要,蓝方阵容(5人),红方阵容(5人)
孙尚香,扁鹊,12,阵营2 胜利,"司空震,嫦娥,孙尚香,李元芳,瑶","老夫子,诸葛亮,扁鹊,娜可露露,大乔"
孙尚香,扁鹊,13,阵营1 胜利,"狂铁,海诺,孙尚香,铠,盾山","蒙恬,甄姬,扁鹊,裴擒虎,廉颇"
孙尚香,扁鹊,14,阵营2 胜利,"花木兰,嬴政,孙尚香,裴擒虎,太乙真人","刘邦,不知火舞,扁鹊,云缨,少司缘"
孙尚香,扁鹊,15,阵营1 胜利,"狂铁,元流之子(法师),孙尚香,哪吒,盾山","关羽,杨玉环,扁鹊,暃,大禹"
孙尚香,扁鹊,16,阵营1 胜利,"白起,西施,扁鹊,马超,朵莉亚","蚩奼,小乔,孙尚香,司马懿,桑启"
孙尚香,扁鹊,17,阵营2 胜利,"狂铁,貂蝉,孙尚香,司马懿,盾山","白起,高渐离,扁鹊,马超,大禹"
孙尚香,扁鹊,18,阵营1 胜利,"曹操,海诺,孙尚香,宫本武藏,墨子","关羽,安琪拉,扁鹊,露娜,少司缘"
孙尚香,扁鹊,19,阵营2 胜利,"蚩奼,杨玉环,扁鹊,澜,苏烈","影,不知火舞,孙尚香,阿轲,少司缘"
孙尚香,马可波罗,1,阵营2 胜利,"关羽,安琪拉,马可波罗,裴擒虎,张飞","影,弈星,孙尚香,诸葛亮,少司缘"
孙尚香,马可波罗,2,阵营1 胜利,"白起,金蝉,孙尚香,阿古朵,元流之子(辅助)","曹操,高渐离,马可波罗,马超,少司缘"
孙尚香,马可波罗,3,阵营1 胜利,"蚩奼,诸葛亮,马可波罗,赵云,苏烈","哪吒,嫦娥,孙尚香,韩信,盾山"
孙尚香,马可波罗,4,阵营1 胜利,"元歌,不知火舞,马可波罗,镜,少司缘","老夫子,大乔,孙尚香,曜,刘邦"
孙尚香,马可波罗,5,阵营1 胜利,"元歌,不知火舞,孙尚香,盘古,少司缘","达摩,海诺,马可波罗,马超,太乙真人"
孙尚香,马可波罗,6,阵营1 胜利,"芈月,嫦娥,马可波罗,赵云,刘邦","狂铁,沈梦溪,孙尚香,云缨,赵怀真"
孙尚香,马可波罗,7,阵营2 胜利,"司空震,嫦娥,马可波罗,李白,墨子","貂蝉,哪吒,孙尚香,赵云,赵怀真"
孙尚香,马可波罗,8,阵营2 胜利,"花木兰,嫦娥,马可波罗,赵云,少司缘","貂蝉,沈梦溪,孙尚香,裴擒虎,太乙真人"
孙尚香,马可波罗,9,阵营2 胜利,"元歌,西施,孙尚香,橘右京,空空儿","蒙恬,王昭君,马可波罗,韩信,赵怀真"
孙尚香,马可波罗,10,阵营1 胜利,"蚩奼,杨玉环,马可波罗,大司命,刘邦","哪吒,女娲,孙尚香,铠,张飞"
孙尚香,马可波罗,11,阵营2 胜利,"影,貂蝉,马可波罗,百里玄策,少司缘","老夫子,女娲,孙尚香,暃,元流之子(坦克)"
孙尚香,马可波罗,12,阵营1 胜利,"元歌,大乔,马可波罗,云缨,姜子牙","蒙恬,嫦娥,孙尚香,赵云,鲁班大师"
孙尚香,马可波罗,13,阵营1 胜利,"影,女娲,孙尚香,裴擒虎,刘邦","姬小满,大乔,马可波罗,镜,鲁班大师"
孙尚香,马可波罗,14,阵营2 胜利,"老夫子,高渐离,马可波罗,大司命,少司缘","哪吒,嫦娥,孙尚香,司马懿,廉颇"
孙尚香,马可波罗,15,阵营2 胜利,"貂蝉,弈星,孙尚香,赵云,刘邦","元歌,女娲,马可波罗,典韦,苏烈"
孙尚香,马可波罗,16,阵营1 胜利,"白起,海月,孙尚香,典韦,元流之子(辅助)","芈月,嫦娥,马可波罗,裴擒虎,少司缘"
孙尚香,马可波罗,17,阵营1 胜利,"哪吒,西施,孙尚香,露娜,杨玉环","曹操,王昭君,马可波罗,李白,刘邦"
孙尚香,马可波罗,18,阵营2 胜利,"达摩,杨玉环,孙尚香,哪吒,刘邦","孙策,女娲,马可波罗,阿古朵,廉颇"
孙尚香,马可波罗,19,阵营2 胜利,"曹操,大乔,孙尚香,镜,少司缘","老夫子,西施,马可波罗,裴擒虎,张飞"
孙尚香,狄仁杰,1,阵营1 胜利,"元歌,西施,孙尚香,裴擒虎,盾山","程咬金,女娲,狄仁杰,元流之子(刺客),大禹"
孙尚香,狄仁杰,2,阵营1 胜利,"哪吒,姜子牙,狄仁杰,兰陵王,张飞","司空震,貂蝉,孙尚香,元流之子(刺客),刘禅"
孙尚香,狄仁杰,3,阵营1 胜利,"蒙恬,诸葛亮,孙尚香,镜,太乙真人","元歌,不知火舞,狄仁杰,橘右京,苏烈"
孙尚香,狄仁杰,4,阵营2 胜利,"蚩奼,海诺,狄仁杰,铠,张飞","孙策,武则天,孙尚香,大司命,太乙真人"
孙尚香,狄仁杰,5,阵营2 胜利,"曹操,小乔,狄仁杰,马超,元流之子(辅助)","老夫子,沈梦溪,孙尚香,裴擒虎,墨子"
孙尚香,狄仁杰,6,阵营1 胜利,"哪吒,海月,狄仁杰,大司命,大禹","元歌,沈梦溪,孙尚香,孙悟空,大乔"
孙尚香,狄仁杰,7,阵营2 胜利,"司空震,沈梦溪,狄仁杰,赵云,元流之子(辅助)","夏洛特,海月,孙尚香,马超,刘邦"
孙尚香,狄仁杰,8,阵营1 胜利,"老夫子,女娲,孙尚香,百里玄策,盾山","马超,甄姬,狄仁杰,元流之子(刺客),少司缘"
孙尚香,狄仁杰,9,阵营1 胜利,"孙策,高渐离,孙尚香,杨戬,刘邦","司空震,沈梦溪,狄仁杰,刘备,张飞"
孙尚香,狄仁杰,10,阵营1 胜利,"元歌,诸葛亮,狄仁杰,暃,鬼谷子","曹操,女娲,孙尚香,露娜,苏烈"
孙尚香,狄仁杰,11,阵营2 胜利,"白起,沈梦溪,狄仁杰,诸葛亮,苏烈","马超,女娲,孙尚香,韩信,张飞"
孙尚香,狄仁杰,12,阵营2 胜利,"芈月,海月,孙尚香,赵云,太乙真人","老夫子,诸葛亮,狄仁杰,宫本武藏,盾山"
孙尚香,狄仁杰,13,阵营1 胜利,"狂铁,甄姬,狄仁杰,镜,鬼谷子","蚩奼,海月,孙尚香,阿古朵,太乙真人"
孙尚香,狄仁杰,14,阵营2 胜利,"曹操,貂蝉,狄仁杰,阿轲,刘邦","司空震,武则天,孙尚香,赵怀真,苏烈"
孙尚香,狄仁杰,15,阵营1 胜利,"老夫子,上官婉儿,狄仁杰,百里玄策,少司缘","马超,女娲,孙尚香,云缨,杨玉环"
孙尚香,狄仁杰,16,阵营2 胜利,"哪吒,沈梦溪,狄仁杰,裴擒虎,盾山","司空震,不知火舞,孙尚香,李元芳,杨玉环"
孙尚香,狄仁杰,17,阵营1 胜利,"花木兰,沈梦溪,狄仁杰,阿古朵,盾山","杨戬,甄姬,孙尚香,云缨,钟馗"
孙尚香,狄仁杰,18,阵营1 胜利,"哪吒,不知火舞,狄仁杰,韩信,刘邦","影,高渐离,孙尚香,橘右京,少司缘"
孙尚香,狄仁杰,19,阵营2 胜利,"芈月,弈星,孙尚香,韩信,少司缘","亚瑟,海月,狄仁杰,孙悟空,大乔"
孙尚香,孙权,1,阵营2 胜利,"影,女娲,孙尚香,韩信,大禹","老夫子,弈星,孙权,典韦,鲁班大师"
孙尚香,孙权,2,阵营1 胜利,"影,不知火舞,孙尚香,宫本武藏,少司缘","马超,金蝉,孙权,铠,刘邦"
孙尚香,孙权,3,阵营2 胜利,"司空震,高渐离,孙权,元流之子(刺客),刘邦","元歌,安琪拉,孙尚香,云缨,太乙真人"
孙尚香,孙权,4,阵营1 胜利,"蒙恬,海诺,孙权,赵云,张飞","老夫子,武则天,孙尚香,暃,张良"
孙尚香,孙权,5,阵营1 胜利,"哪吒,嬴政,孙尚香,镜,盾山","蒙恬,海诺,孙权,裴擒虎,少司缘"
孙尚香,孙权,6,阵营1 胜利,"元歌,沈梦溪,孙尚香,司马懿,张飞","司空震,杨玉环,孙权,阿轲,太乙真人"
孙尚香,孙权,7,阵营1 胜利,"夏侯惇,沈梦溪,孙权,盘古,太乙真人","司空震,元流之子(法师),孙尚香,铠,盾山"
孙尚香,孙权,8,阵营1 胜利,"元歌,不知火舞,孙权,裴擒虎,大禹","程咬金,杨玉环,孙尚香,元流之子(刺客),张飞"
孙尚香,孙权,9,阵营2 胜利,"老夫子,小乔,孙尚香,裴擒虎,刘邦","哪吒,沈梦溪,孙权,橘右京,太乙真人"
孙尚香,孙权,10,阵营1 胜利,"影,弈星,孙权,赵云,少司缘","花木兰,甄姬,孙尚香,百里玄策,张飞"
孙尚香,孙权,11,阵营2 胜利,"关羽,不知火舞,孙权,裴擒虎,大乔","哪吒,嫦娥,孙尚香,橘右京,刘邦"
孙尚香,孙权,12,阵营1 胜利,"哪吒,甄姬,孙尚香,裴擒虎,庄周","达摩,小乔,孙权,橘右京,朵莉亚"
孙尚香,孙权,13,阵营1 胜利,"关羽,弈星,孙权,百里玄策,张飞","狂铁,不知火舞,孙尚香,韩信,盾山"
孙尚香,孙权,14,阵营2 胜利,"马超,沈梦溪,孙尚香,橘右京,盾山","关羽,不知火舞,孙权,阿轲,苏烈"
孙尚香,孙权,15,阵营2 胜利,"兰陵王,女娲,孙尚香,橘右京,赵怀真","关羽,貂蝉,孙权,韩信,大禹"
孙尚香,孙权,16,阵营2 胜利,"关羽,甄姬,孙尚香,李白,张飞","司空震,女娲,孙权,云缨,墨子"
孙尚香,孙权,17,阵营1 胜利,"哪吒,诸葛亮,孙尚香,大司命,杨玉环","元歌,沈梦溪,孙权,阿古朵,苏烈"
孙尚香,孙权,18,阵营2 胜利,"影,沈梦溪,孙权,马超,钟馗","老夫子,妲己,孙尚香,杨戬,张飞"
孙尚香,孙权,19,阵营1 胜利,"元歌,嫦娥,孙权,大司命,刘邦","蚩奼,貂蝉,孙尚香,橘右京,苏烈"
孙尚香,艾琳,1,阵营1 胜利,"元歌,沈梦溪,艾琳,大司命,大禹","曹操,大乔,孙尚香,典韦,盾山"
孙尚香,艾琳,2,阵营2 胜利,"花木兰,女娲,孙尚香,雅典娜,廉颇","哪吒,诸葛亮,艾琳,马超,苏烈"
孙尚香,艾琳,3,阵营1 胜利,"狂铁,女娲,孙尚香,马超,盾山","达摩,不知火舞,艾琳,哪吒,元流之子(辅助)"
孙尚香,艾琳,4,阵营2 胜利,"曹操,安琪拉,艾琳,百里玄策,元流之子(辅助)","夏洛特,诸葛亮,孙尚香,韩信,盾山"
孙尚香,艾琳,5,阵营2 胜利,"蚩奼,女娲,孙尚香,裴擒虎,廉颇","狂铁,小乔,艾琳,澜,盾山"
孙尚香,艾琳,6,阵营2 胜利,"元歌,嫦娥,艾琳,阿古朵,苏烈","狂铁,小乔,孙尚香,镜,张良"
孙尚香,艾琳,7,阵营1 胜利,"老夫子,大乔,孙尚香,暃,太乙真人","达摩,甄姬,艾琳,橘右京,元流之子(辅助)"
孙尚香,艾琳,8,阵营1 胜利,"司空震,上官婉儿,孙尚香,司马懿,盾山","元歌,不知火舞,艾琳,澜,太乙真人"
孙尚香,艾琳,9,阵营1 胜利,"达摩,女娲,艾琳,娜可露露,刘邦","花木兰,元流之子(法师),孙尚香,典韦,苏烈"
孙尚香,艾琳,10,阵营2 胜利,"亚连,女娲,孙尚香,橘右京,少司缘","曹操,安琪拉,艾琳,杨戬,廉颇"
孙尚香,艾琳,11,阵营2 胜利,"老夫子,小乔,孙尚香,镜,少司缘","哪吒,大乔,艾琳,大司命,盾山"
孙尚香,艾琳,12,阵营1 胜利,,未集齐10人
孙尚香,艾琳,13,阵营2 胜利,"老夫子,不知火舞,孙尚香,露娜,张飞","夏洛特,沈梦溪,艾琳,司马懿,太乙真人"
孙尚香,艾琳,14,阵营1 胜利,"曹操,甄姬,艾琳,赵云,苏烈","司空震,嫦娥,孙尚香,百里玄策,盾山"
孙尚香,艾琳,15,阵营1 胜利,"哪吒,嬴政,艾琳,阿古朵,盾山","达摩,西施,孙尚香,马超,刘邦"
孙尚香,艾琳,16,阵营2 胜利,"司空震,沈梦溪,艾琳,马超,鲁班大师","曹操,弈星,孙尚香,司马懿,赵怀真"
孙尚香,艾琳,17,阵营2 胜利,"曹操,沈梦溪,孙尚香,裴擒虎,太乙真人","貂蝉,嫦娥,艾琳,云缨,张飞"
孙尚香,艾琳,18,阵营1 胜利,"司空震,沈梦溪,艾琳,云缨,大乔","元歌,嫦娥,孙尚香,赵云,大禹"
孙尚香,艾琳,19,阵营2 胜利,"哪吒,嫦娥,孙尚香,云缨,张飞","关羽,貂蝉,艾琳,韩信,盾山"
孙尚香,后羿,1,阵营2 胜利,"元歌,女娲,孙尚香,大司命,盾山","刘邦,太乙真人,后羿,诸葛亮,少司缘"
孙尚香,后羿,2,阵营2 胜利,"司空震,沈梦溪,孙尚香,韩信,杨玉环","曹操,上官婉儿,后羿,司马懿,刘邦"
孙尚香,后羿,3,阵营1 胜利,"兰陵王,女娲,后羿,马超,盾山","猪八戒,不知火舞,孙尚香,宫本武藏,大乔"
孙尚香,后羿,4,阵营1 胜利,"司空震,沈梦溪,孙尚香,大司命,太乙真人","老夫子,张良,后羿,曜,张飞"
孙尚香,后羿,5,阵营2 胜利,"狂铁,小乔,孙尚香,娜可露露,钟馗","影,女娲,后羿,宫本武藏,张飞"
孙尚香,后羿,6,阵营1 胜利,"老夫子,西施,后羿,铠,大乔","亚瑟,不知火舞,孙尚香,宫本武藏,大禹"
孙尚香,后羿,7,阵营1 胜利,"司空震,沈梦溪,孙尚香,暃,太乙真人","芈月,武则天,后羿,镜,苏烈"
孙尚香,后羿,8,阵营2 胜利,"曹操,女娲,孙尚香,韩信,墨子","哪吒,沈梦溪,后羿,大司命,太乙真人"
孙尚香,后羿,9,阵营2 胜利,"曹操,女娲,孙尚香,司马懿,大禹","杨戬,嫦娥,后羿,赵云,刘禅"
孙尚香,后羿,10,阵营2 胜利,"马超,张良,孙尚香,裴擒虎,大乔","司空震,高渐离,后羿,曜,元流之子(坦克)"
孙尚香,后羿,11,阵营1 胜利,"蚩奼,嬴政,孙尚香,云中君,大禹","白起,貂蝉,后羿,镜,鲁班大师"
孙尚香,后羿,12,阵营2 胜利,"老夫子,西施,孙尚香,宫本武藏,太乙真人","蚩奼,貂蝉,后羿,镜,张飞"
孙尚香,后羿,13,阵营1 胜利,"猪八戒,貂蝉,孙尚香,阿轲,鲁班大师","芈月,高渐离,后羿,百里玄策,鬼谷子"
孙尚香,后羿,14,阵营2 胜利,"影,杨玉环,孙尚香,镜,元流之子(辅助)","司空震,女娲,后羿,大司命,少司缘"
孙尚香,后羿,15,阵营1 胜利,"狂铁,小乔,后羿,孙悟空,鬼谷子","芈月,大乔,孙尚香,阿古朵,赵怀真"
孙尚香,后羿,16,阵营1 胜利,"芈月,嫦娥,孙尚香,露娜,盾山","曹操,女娲,后羿,暃,廉颇"
孙尚香,后羿,17,阵营2 胜利,"梦奇,嫦娥,后羿,马超,少司缘","影,诸葛亮,孙尚香,镜,元流之子(辅助)"
孙尚香,后羿,18,阵营1 胜利,"哪吒,西施,孙尚香,杨戬,元流之子(辅助)","狂铁,海诺,后羿,裴擒虎,少司缘"
孙尚香,后羿,19,阵营2 胜利,"关羽,不知火舞,后羿,百里玄策,大禹","影,海月,孙尚香,马超,鲁班大师"
孙尚香,蚩奼,1,阵营2 胜利,"元歌,沈梦溪,蚩奼,阿古朵,张良","马超,墨子,孙尚香,李元芳,少司缘"
孙尚香,蚩奼,2,阵营2 胜利,"夏洛特,女娲,孙尚香,马超,盾山","影,沈梦溪,蚩奼,镜,大禹"
孙尚香,蚩奼,3,阵营2 胜利,"马超,沈梦溪,孙尚香,铠,苏烈","哪吒,大乔,蚩奼,阿古朵,张飞"
孙尚香,蚩奼,4,阵营1 胜利,"曹操,杨玉环,蚩奼,铠,赵怀真","夏侯惇,小乔,孙尚香,梦奇,大禹"
孙尚香,蚩奼,5,阵营1 胜利,"刘邦,嫦娥,蚩奼,裴擒虎,少司缘","曹操,武则天,孙尚香,暃,盾山"
孙尚香,蚩奼,6,阵营2 胜利,"钟无艳,上官婉儿,孙尚香,马超,太乙真人","夏洛特,张良,蚩奼,孙悟空,刘邦"
孙尚香,蚩奼,7,阵营2 胜利,"蒙恬,大乔,蚩奼,宫本武藏,鬼谷子","花木兰,沈梦溪,孙尚香,裴擒虎,张飞"
孙尚香,蚩奼,8,阵营1 胜利,"达摩,沈梦溪,蚩奼,裴擒虎,苏烈","吕布,高渐离,孙尚香,韩信,盾山"
孙尚香,蚩奼,9,阵营1 胜利,"曹操,沈梦溪,孙尚香,诸葛亮,苏烈","司空震,杨玉环,蚩奼,镜,盾山"
孙尚香,蚩奼,10,阵营1 胜利,"蒙恬,小乔,孙尚香,镜,大禹","狂铁,干将莫邪,蚩奼,裴擒虎,东皇太一"
孙尚香,蚩奼,11,阵营1 胜利,"狂铁,嬴政,孙尚香,裴擒虎,盾山","曹操,海月,蚩奼,韩信,刘禅"
孙尚香,蚩奼,12,阵营2 胜利,"曹操,沈梦溪,蚩奼,马超,苏烈","姬小满,嫦娥,孙尚香,裴擒虎,墨子"
孙尚香,蚩奼,13,阵营2 胜利,"司空震,女娲,蚩奼,典韦,鲁班大师","蒙恬,高渐离,孙尚香,阿古朵,少司缘"
孙尚香,蚩奼,14,阵营1 胜利,"司空震,干将莫邪,孙尚香,铠,项羽","蒙恬,高渐离,蚩奼,露娜,元流之子(辅助)"
孙尚香,蚩奼,15,阵营2 胜利,"蒙恬,嫦娥,蚩奼,梦奇,大禹","花木兰,高渐离,孙尚香,镜,盾山"
孙尚香,蚩奼,16,阵营1 胜利,"狂铁,杨玉环,孙尚香,孙悟空,桑启","司空震,海月,蚩奼,韩信,盾山"
孙尚香,蚩奼,17,阵营1 胜利,"曹操,大乔,孙尚香,橘右京,苏烈","狂铁,沈梦溪,蚩奼,宫本武藏,大禹"
孙尚香,蚩奼,18,阵营1 胜利,"猪八戒,沈梦溪,蚩奼,裴擒虎,太乙真人","老夫子,海月,孙尚香,赵云,张飞"
孙尚香,蚩奼,19,阵营1 胜利,"夏洛特,海月,蚩奼,阿古朵,张飞","芈月,小乔,孙尚香,马超,空空儿"
孙尚香,李元芳,1,阵营1 胜利,"哪吒,嫦娥,李元芳,云缨,大乔","曹操,诸葛亮,孙尚香,阿古朵,盾山"
孙尚香,李元芳,2,阵营1 胜利,"狂铁,武则天,孙尚香,铠,墨子","吕布,沈梦溪,李元芳,孙悟空,大乔"
孙尚香,李元芳,3,阵营1 胜利,"曹操,武则天,李元芳,娜可露露,空空儿","关羽,大乔,孙尚香,司马懿,少司缘"
孙尚香,李元芳,4,阵营2 胜利,"曹操,小乔,孙尚香,韩信,盾山","元歌,沈梦溪,李元芳,曜,少司缘"
孙尚香,李元芳,5,阵营1 胜利,"芈月,沈梦溪,李元芳,典韦,杨玉环","曹操,武则天,孙尚香,李白,空空儿"
孙尚香,李元芳,6,阵营1 胜利,"元歌,海诺,孙尚香,马超,苏烈","司空震,嫦娥,李元芳,兰陵王,少司缘"
孙尚香,李元芳,7,阵营1 胜利,"关羽,沈梦溪,李元芳,镜,元流之子(坦克)","曹操,大乔,孙尚香,孙悟空,太乙真人"
孙尚香,李元芳,8,阵营2 胜利,"孙策,西施,李元芳,橘右京,元流之子(辅助)","司空震,嫦娥,孙尚香,百里玄策,杨玉环"
孙尚香,李元芳,9,阵营2 胜利,"蒙恬,周瑜,李元芳,铠,少司缘","影,武则天,孙尚香,裴擒虎,苏烈"
孙尚香,李元芳,10,阵营2 胜利,"马超,西施,孙尚香,孙悟空,张良","司空震,元流之子(法师),李元芳,百里玄策,廉颇"
孙尚香,李元芳,11,阵营2 胜利,"关羽,上官婉儿,孙尚香,镜,少司缘","哪吒,小乔,李元芳,百里玄策,瑶"
孙尚香,李元芳,12,阵营1 胜利,"曹操,诸葛亮,孙尚香,百里玄策,太乙真人","影,大乔,李元芳,马超,空空儿"
孙尚香,李元芳,13,阵营2 胜利,"马超,女娲,李元芳,露娜,杨玉环","孙策,海月,孙尚香,暃,少司缘"
孙尚香,李元芳,14,阵营1 胜利,"项羽,沈梦溪,李元芳,猪八戒,盾山","元歌,杨玉环,孙尚香,露娜,大禹"
孙尚香,李元芳,15,阵营1 胜利,"影,高渐离,孙尚香,橘右京,少司缘","曹操,女娲,李元芳,典韦,鬼谷子"
孙尚香,李元芳,16,阵营2 胜利,"哪吒,小乔,李元芳,韩信,刘邦","曹操,沈梦溪,孙尚香,露娜,盾山"
孙尚香,李元芳,17,阵营2 胜利,"影,海诺,李元芳,云中君,苏烈","曹操,沈梦溪,孙尚香,露娜,盾山"
孙尚香,李元芳,18,阵营1 胜利,"蚩奼,弈星,孙尚香,裴擒虎,少司缘","老夫子,西施,李元芳,元流之子(刺客),钟馗"
孙尚香,李元芳,19,阵营2 胜利,"老夫子,上官婉儿,孙尚香,阿古朵,刘邦","影,女娲,李元芳,宫本武藏,空空儿"
孙尚香,虞姬,1,阵营2 胜利,"哪吒,貂蝉,孙尚香,阿轲,刘邦","蚩奼,安琪拉,虞姬,马超,大禹"
孙尚香,虞姬,2,阵营1 胜利,"司空震,沈梦溪,孙尚香,澜,廉颇","夏洛特,小乔,虞姬,裴擒虎,西施"
孙尚香,虞姬,3,阵营1 胜利,"芈月,甄姬,孙尚香,镜,盾山","狂铁,干将莫邪,虞姬,哪吒,太乙真人"
孙尚香,虞姬,4,阵营1 胜利,"夏洛特,沈梦溪,孙尚香,阿古朵,鬼谷子","老夫子,嫦娥,虞姬,韩信,杨玉环"
孙尚香,虞姬,5,阵营1 胜利,"蚩奼,嫦娥,孙尚香,铠,苏烈","白起,不知火舞,虞姬,宫本武藏,张良"
孙尚香,虞姬,6,阵营2 胜利,"兰陵王,海月,孙尚香,孙悟空,盾山","蚩奼,小乔,虞姬,赵云,苏烈"
孙尚香,虞姬,7,阵营2 胜利,"哪吒,不知火舞,孙尚香,云缨,赵怀真","老夫子,沈梦溪,虞姬,镜,张飞"
孙尚香,虞姬,8,阵营2 胜利,"哪吒,不知火舞,虞姬,马超,大禹","夏洛特,妲己,孙尚香,暃,盾山"
孙尚香,虞姬,9,阵营2 胜利,"元歌,沈梦溪,虞姬,橘右京,盾山","关羽,小乔,孙尚香,铠,大乔"
孙尚香,虞姬,10,阵营1 胜利,"司空震,女娲,孙尚香,哪吒,张飞","芈月,甄姬,虞姬,裴擒虎,杨玉环"
孙尚香,虞姬,11,阵营1 胜利,"哪吒,嫦娥,孙尚香,孙悟空,苏烈","老夫子,海月,虞姬,韩信,少司缘"
孙尚香,虞姬,12,阵营1 胜利,"夏洛特,小乔,虞姬,裴擒虎,盾山","元歌,海诺,孙尚香,橘右京,廉颇"
孙尚香,虞姬,13,阵营2 胜利,"司空震,嫦娥,虞姬,铠,大禹","亚瑟,甄姬,孙尚香,澜,赵怀真"
孙尚香,虞姬,14,阵营1 胜利,"孙策,上官婉儿,孙尚香,阿古朵,少司缘","吕布,貂蝉,虞姬,马超,墨子"
